1	1	1	1	％〈H9002＝〉起初</a>〈H7225＝c1｜2｜E70002〉<sup>S</sup></a>％〈H430＝c1｜4｜E70004〉，　神</a>％〈H1254＝c1｜3｜E70003〉創造</a>〈H8804＝〉<sup>T</sup></a>〈H853＝c1｜5｜E70005〉<sup>[S]</sup></a>％〈H8064＝c1｜7｜E70007〉天</a>〈H853＝c1｜9｜E70005〉<sup>[S]</sup></a>％〈H776＝c1｜11｜E70009〉地</a>。
2	1	1	2	％〈H776＝c2｜14｜E70009〉地</a>％〈H1961＝c2｜15｜E70010〉是</a>〈H8804＝〉<sup>T</sup></a>％〈H8414＝c2｜16｜E70011〉空虛</a>％〈H922＝c2｜18｜E70012〉混沌</a>％〈H8415＝c3｜23｜E70016〉，淵</a>面〈H5921＝c3｜21｜E70014〉<sup>[S]</sup></a>〈H6440＝c3｜22｜E70015〉<sup>S</sup></a>％〈H2822＝c3｜20｜E70013〉黑暗</a>％〈H430＝c4｜26｜E70004〉；　神</a>％〈H7307＝c4｜25｜E70017〉的靈</a>％〈H7363＝c4｜27｜E70018〉運行</a>〈H8764＝〉<sup>T</sup></a>％〈H5921＝c4｜28｜E70014〉在</a>％〈H4325＝c4｜31｜E70019〉水</a>％〈H6440＝c4｜29｜E70015〉面</a>上。
3	1	1	3	％〈H430＝c5｜34｜E70004〉　神</a>％〈H559＝c5｜33｜E70020〉說</a>〈H8799＝〉<sup>T</sup></a>％〈H1961＝c6｜35｜E70010〉：「要有</a>〈H8799＝〉<sup>T</sup></a>％〈H216＝c6｜36｜E70021〉光</a>％〈H1961＝c7｜38｜E70010〉」，就有了</a>〈H8799＝〉<sup>T</sup></a>％〈H216＝c7｜39｜E70021〉光</a>。
4	1	1	4	％〈H430＝c8｜42｜E70004〉　神</a>％〈H7200＝c8｜41｜E70022〉看</a>〈H8799＝〉<sup>T</sup></a>〈H853＝c8｜43｜E70005〉<sup>[S]</sup></a>％〈H216＝c8｜45｜E70021〉光</a>〈H3588＝c9｜46｜E70023〉<sup>[S]</sup></a>％〈H2896＝c9｜47｜E70024〉是好的</a>，〈H430＝c10｜50｜E70004〉<sup>[S]</sup></a>就把〈H996＝c10｜51｜E70026〉<sup>[S]</sup></a>％〈H216＝c10｜53｜E70021〉光</a>〈H996＝c10｜55｜E70026〉<sup>[S]</sup></a>％〈H2822＝c10｜57｜E70013〉暗</a>％〈H914＝c10｜49｜E70025〉分開了</a>〈H8686＝〉<sup>T</sup></a>。
5	1	1	5	％〈H430＝c11｜60｜E70004〉　神</a>％〈H7121＝c11｜59｜E70027〉稱</a>〈H8799＝〉<sup>T</sup></a>％〈H9001＝〉光</a>〈H216＝c11｜63｜E70021〉<sup>S</sup></a>％〈H3117＝c11｜64｜E70029〉為「晝</a>％〈H7121＝c12｜69｜E70027〉」，稱</a>〈H8804＝〉<sup>T</sup></a>％〈H9001＝〉暗</a>〈H2822＝c12｜68｜E70013〉<sup>S</sup></a>％〈H3915＝c12｜70｜E70030〉為「夜</a>％〈H1961＝c13｜72｜E70010〉」。有</a>〈H8799＝〉<sup>T</sup></a>％〈H6153＝c13｜73｜E70031〉晚上</a>％〈H1961＝c14｜75｜E70010〉，有</a>〈H8799＝〉<sup>T</sup></a>％〈H1242＝c14｜76｜E70032〉早晨</a>％〈H259＝c15｜78｜E70033〉，這是頭一</a>％〈H3117＝c15｜77｜E70029〉日</a>。
6	1	1	6	％〈H430＝c16｜81｜E70004〉　神</a>％〈H559＝c16｜80｜E70020〉說</a>〈H8799＝〉<sup>T</sup></a>％〈H4325＝c17｜87｜E70019〉：「諸水</a>％〈H9002＝〉之間</a>〈H8432＝c17｜85｜E70035〉<sup>S</sup></a>％〈H1961＝c17｜82｜E70010〉要有</a>〈H8799＝〉<sup>T</sup></a>％〈H7549＝c17｜83｜E70034〉空氣</a>，將〈H1961＝c18｜89｜E70010〉<sup>[S]</sup></a>〈H8799＝〉<sup>[T]</sup></a>％〈H996＝c18｜91｜E70026〉水</a>〈H4325＝c18｜92｜E70019〉<sup>S</sup></a>％〈H914＝c18｜90｜E70025〉分</a>〈H8688＝〉<sup>T</sup></a>為上下〈H9001＝〉<sup>[S]</sup></a>〈H4325＝c18｜94｜E70019〉<sup>[S]</sup></a>。」
7	1	1	7	％〈H430＝c19｜97｜E70004〉　神</a>％〈H6213＝c19｜96｜E70036〉就造出</a>〈H8799＝〉<sup>T</sup></a>〈H853＝c19｜98｜E70005〉<sup>[S]</sup></a>％〈H7549＝c19｜100｜E70034〉空氣</a>％〈H834＝c21｜106｜E70037〉，將</a>％〈H9001＝〉空氣</a>〈H7549＝c21｜111｜E70034〉<sup>S</sup></a>％〈H4480＝c21｜107｜E70038〉以下</a>〈H8478＝c21｜108｜E70039〉<sup>S</sup></a>％〈H996＝c20｜103｜E70026〉的水</a>〈H4325＝c20｜105｜E70019〉<sup>S</sup></a>％〈H9001＝〉、空氣</a>〈H7549＝c23｜121｜E70034〉<sup>S</sup></a>〈H834＝c23｜116｜E70037〉<sup>[S]</sup></a>％〈H4480＝c23｜117｜E70038〉以上</a>〈H5921＝c23｜118｜E70014〉<sup>S</sup></a>％〈H996＝c22｜113｜E70026〉的水</a>〈H4325＝c22｜115｜E70019〉<sup>S</sup></a>％〈H914＝c20｜102｜E70025〉分開了</a>〈H8686＝〉<sup>T</sup></a>％〈H3651＝c24｜124｜E70040〉。事就這樣</a>％〈H1961＝c24｜123｜E70010〉成了</a>〈H8799＝〉<sup>T</sup></a>。
8	1	1	8	％〈H430＝c25｜127｜E70004〉　神</a>％〈H7121＝c25｜126｜E70027〉稱</a>〈H8799＝〉<sup>T</sup></a>％〈H9001＝〉空氣</a>〈H7549＝c25｜130｜E70034〉<sup>S</sup></a>％〈H8064＝c25｜131｜E70007〉為「天</a>％〈H1961＝c26｜133｜E70010〉」。有</a>〈H8799＝〉<sup>T</sup></a>％〈H6153＝c26｜134｜E70031〉晚上</a>％〈H1961＝c27｜136｜E70010〉，有</a>〈H8799＝〉<sup>T</sup></a>％〈H1242＝c27｜137｜E70032〉早晨</a>％〈H8145＝c28｜139｜E70041〉，是第二</a>％〈H3117＝c28｜138｜E70029〉日</a>。
9	1	1	9	％〈H430＝c29｜142｜E70004〉　神</a>％〈H559＝c29｜141｜E70020〉說</a>〈H8799＝〉<sup>T</sup></a>％〈H8064＝c30｜149｜E70007〉：「天</a>％〈H4480＝c30｜146｜E70038〉下</a>〈H8478＝c30｜147｜E70039〉<sup>S</sup></a>％〈H4325＝c30｜145｜E70019〉的水</a>％〈H6960＝c30｜143｜E70042〉要聚</a>〈H8735＝〉<sup>T</sup></a>％〈H413＝c30｜150｜E70043〉在</a>％〈H259＝c30｜152｜E70033〉一</a>％〈H4725＝c30｜151｜E70044〉處</a>％〈H3004＝c31｜156｜E70045〉，使旱地</a>％〈H7200＝c31｜154｜E70022〉露出來</a>〈H8735＝〉<sup>T</sup></a>％〈H3651＝c32｜159｜E70040〉。」事就這樣</a>％〈H1961＝c32｜158｜E70010〉成了</a>〈H8799＝〉<sup>T</sup></a>。
10	1	1	10	％〈H430＝c33｜162｜E70004〉　神</a>％〈H7121＝c33｜161｜E70027〉稱</a>〈H8799＝〉<sup>T</sup></a>％〈H9001＝〉旱地</a>〈H3004＝c33｜165｜E70045〉<sup>S</sup></a>％〈H776＝c33｜166｜E70009〉為「地</a>％〈H7121＝c34｜172｜E70027〉」，稱</a>〈H8804＝〉<sup>T</sup></a>％〈H4325＝c34｜171｜E70019〉水</a>％〈H9001＝〉的聚處</a>〈H4723＝c34｜169｜E70046〉<sup>S</sup></a>％〈H3220＝c34｜173｜E70047〉為「海</a>％〈H430＝c35｜176｜E70004〉」。　神</a>％〈H7200＝c35｜175｜E70022〉看著</a>〈H8799＝〉<sup>T</sup></a>〈H3588＝c36｜177｜E70023〉<sup>[S]</sup></a>％〈H2896＝c36｜178｜E70024〉是好的</a>。
